|customer_id|film_id|title                      |description                                                                                                                   |category   |rating|fullname        |rental_frequency|amount|last_update|
|-----------|-------|---------------------------|------------------------------------------------------------------------------------------------------------------------------|-----------|------|----------------|----------------|------|-----------|
|1          |663    |PATIENT SISTER             |A Emotional Epistle of a Squirrel And a Robot who must Confront a Lumberjack in Soviet Georgia                                |Classics   |NC-17 |MARY SMITH      |1               |2.99  |2006-02-15 |
|1          |875    |TALENTED HOMICIDE          |A Lacklusture Panorama of a Dentist And a Forensic Psychologist who must Outrace a Pioneer in A U-Boat                        |Sports     |PG    |MARY SMITH      |1               |0.99  |2006-02-15 |
|1          |611    |MUSKETEERS WAIT            |A Touching Yarn of a Student And a Moose who must Fight a Mad Cow in Australia                                                |Classics   |PG    |MARY SMITH      |1               |5.99  |2006-02-15 |
|1          |228    |DETECTIVE VISION           |A Fanciful Documentary of a Pioneer And a Woman who must Redeem a Hunter in Ancient Japan                                     |Classics   |PG-13 |MARY SMITH      |1               |0.99  |2006-02-15 |
|1          |308    |FERRIS MOTHER              |A Touching Display of a Frisbee And a Frisbee who must Kill a Girl in The Gulf of Mexico                                      |Comedy     |PG    |MARY SMITH      |1               |9.99  |2006-02-15 |
|1          |159    |CLOSER BANG                |A Unbelieveable Panorama of a Frisbee And a Hunter who must Vanquish a Monkey in Ancient India                                |Comedy     |R     |MARY SMITH      |1               |4.99  |2006-02-15 |
|1          |44     |ATTACKS HATE               |A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft           |Sci-Fi     |PG-13 |MARY SMITH      |1               |4.99  |2006-02-15 |
|1          |766    |SAVANNAH TOWN              |A Awe-Inspiring Tale of a Astronaut And a Database Administrator who must Chase a Secret Agent in The Gulf of Mexico          |Drama      |PG-13 |MARY SMITH      |1               |0.99  |2006-02-15 |
|1          |997    |YOUTH KICK                 |A Touching Drama of a Teacher And a Cat who must Challenge a Technical Writer in A U-Boat                                     |Music      |NC-17 |MARY SMITH      |1               |3.99  |2006-02-15 |
|1          |316    |FIRE WOLVES                |A Intrepid Documentary of a Frisbee And a Dog who must Outrace a Lumberjack in Nigeria                                        |Games      |R     |MARY SMITH      |1               |5.99  |2006-02-15 |
|1          |764    |SATURDAY LAMBS             |A Thoughtful Reflection of a Mad Scientist And a Moose who must Kill a Husband in A Baloon                                    |Sports     |G     |MARY SMITH      |1               |5.99  |2006-02-15 |
|1          |814    |SNATCH SLIPPER             |A Insightful Panorama of a Woman And a Feminist who must Defeat a Forensic Psychologist in Berlin                             |Comedy     |PG    |MARY SMITH      |1               |4.99  |2006-02-15 |
|1          |174    |CONFIDENTIAL INTERVIEW     |A Stunning Reflection of a Cat And a Woman who must Find a Astronaut in Ancient Japan                                         |Music      |NC-17 |MARY SMITH      |1               |4.99  |2006-02-15 |
|1          |294    |EXPECATIONS NATURAL        |A Amazing Drama of a Butler And a Husband who must Reach a A Shark in A U-Boat                                                |Travel     |PG-13 |MARY SMITH      |1               |7.99  |2006-02-15 |
