|film_id|title                    |category   |rating|fullname             |rental_frequency|total_amount|last_update|
|-------|-------------------------|-----------|------|---------------------|----------------|------------|-----------|
|579    |MINDS TRUMAN             |Action     |PG-13 |STEVE MACKENZIE      |1               |18.98       |2006-02-15 |
|113    |CALIFORNIA BIRDS         |Sports     |NC-17 |JOHNNIE CHISHOLM     |1               |18.98       |2006-02-15 |
|973    |WIFE TURN                |Documentary|NC-17 |MARION SNYDER        |1               |17.98       |2006-02-15 |
|972    |WHISPERER GIANT          |Sci-Fi     |PG-13 |TIM CARY             |1               |16.98       |2006-02-15 |
|267    |EAGLES PANKY             |New        |NC-17 |CHRISTY VARGAS       |1               |16.98       |2006-02-15 |
|120    |CARIBBEAN LIBERTY        |Sports     |NC-17 |DANIEL CABRAL        |1               |16.98       |2006-02-15 |
|973    |WIFE TURN                |Documentary|NC-17 |APRIL BURNS          |1               |15.98       |2006-02-15 |
|1,000  |ZORRO ARK                |Comedy     |NC-17 |TRACY COLE           |1               |15.98       |2006-02-15 |
|542    |LUST LOCK                |Action     |G     |MAURICE CRAWLEY      |1               |15.98       |2006-02-15 |
|527    |LOLA AGENT               |Horror     |PG    |KEN PREWITT          |1               |14.98       |2006-02-15 |
|575    |MIDSUMMER GROUNDHOG      |Documentary|G     |TIMOTHY BUNN         |1               |14.98       |2006-02-15 |
|596    |MOONSHINE CABIN          |Games      |PG-13 |DORIS REED           |1               |14.98       |2006-02-15 |
|972    |WHISPERER GIANT          |Sci-Fi     |PG-13 |VICKIE BREWER        |1               |14.98       |2006-02-15 |
|21     |AMERICAN CIRCUS          |Action     |R     |FRANCES PARKER       |1               |14.98       |2006-02-15 |
|854    |STRANGERS GRAFFITI       |Horror     |R     |DUANE TUBBS          |1               |14.98       |2006-02-15 |
|838    |STAGECOACH ARMAGEDDON    |Action     |R     |RAMONA HALE          |1               |13.98       |2006-02-15 |
|843    |STEEL SANTA              |Classics   |NC-17 |CHARLIE BESS         |1               |13.98       |2006-02-15 |
|856    |STREETCAR INTENTIONS     |Horror     |R     |ANA BRADLEY          |1               |13.98       |2006-02-15 |
|856    |STREETCAR INTENTIONS     |Horror     |R     |SARA PERRY           |1               |13.98       |2006-02-15 |
|865    |SUNRISE LEAGUE           |Animation  |PG-13 |KATIE ELLIOTT        |1               |13.98       |2006-02-15 |
|995    |YENTL IDAHO              |Horror     |R     |CAROL GARCIA         |1               |13.98       |2006-02-15 |
|481    |JEKYLL FROGMEN           |New        |PG    |GLENDA FRAZIER       |1               |13.98       |2006-02-15 |
|95     |BREAKFAST GOLDFINGER     |New        |G     |MARILYN ROSS         |1               |13.98       |2006-02-15 |
|460    |INNOCENT USUAL           |Foreign    |PG-13 |MIKE WAY             |1               |13.98       |2006-02-15 |
|214    |DAUGHTER MADIGAN         |Children   |PG-13 |EDUARDO HIATT        |1               |13.98       |2006-02-15 |
|263    |DURHAM PANKY             |Sports     |R     |RICK MATTOX          |1               |12.98       |2006-02-15 |
|307    |FELLOWSHIP AUTUMN        |Travel     |NC-17 |BRANDON HUEY         |1               |12.98       |2006-02-15 |
|941    |VIDEOTAPE ARSENIC        |Games      |NC-17 |AMANDA CARTER        |1               |12.98       |2006-02-15 |
|944    |VIRGIN DAISY             |Drama      |PG-13 |NEIL RENNER          |1               |12.98       |2006-02-15 |
|805    |SLEEPLESS MONSOON        |Animation  |G     |STACEY MONTGOMERY    |1               |12.98       |2006-02-15 |
|861    |SUIT WALLS               |Games      |R     |MAURICE CRAWLEY      |1               |12.98       |2006-02-15 |
|892    |TITANIC BOONDOCK         |Animation  |R     |RAYMOND MCWHORTER    |1               |12.98       |2006-02-15 |
|738    |ROCKETEER MOTHER         |Foreign    |PG-13 |MARIAN MENDOZA       |1               |12.98       |2006-02-15 |
|502    |KNOCK WARLOCK            |Comedy     |PG-13 |CLAUDE HERZOG        |1               |12.98       |2006-02-15 |
|575    |MIDSUMMER GROUNDHOG      |Documentary|G     |TERRANCE ROUSH       |1               |11.99       |2006-02-15 |
|580    |MINE TITANS              |New        |PG-13 |KENT ARSENAULT       |1               |11.99       |2006-02-15 |
|791    |SHOW LORD                |Documentary|PG-13 |ALMA AUSTIN          |1               |11.99       |2006-02-15 |
|846    |STING PERSONAL           |New        |NC-17 |NICHOLAS BARFIELD    |1               |11.99       |2006-02-15 |
|889    |TIES HUNGER              |Children   |R     |TANYA GILBERT        |1               |11.99       |2006-02-15 |
|908    |TRAP GUYS                |Foreign    |G     |ROSEMARY SCHMIDT     |1               |11.99       |2006-02-15 |
|946    |VIRTUAL SPOILERS         |Family     |NC-17 |RICHARD MCCRARY      |1               |11.99       |2006-02-15 |
|771    |SCORPION APOLLO          |Drama      |NC-17 |KAREN JACKSON        |1               |11.99       |2006-02-15 |
|771    |SCORPION APOLLO          |Drama      |NC-17 |VANESSA SIMS         |1               |11.99       |2006-02-15 |
|324    |FLINTSTONES HAPPINESS    |Comedy     |PG-13 |VICTORIA GIBSON      |1               |11.99       |2006-02-15 |
|381    |GRINCH MASSAGE           |Games      |R     |TONYA CHAPMAN        |1               |11.98       |2006-02-15 |
|298    |EYES DRIVING             |Sci-Fi     |PG-13 |JASON MORRISSEY      |1               |11.98       |2006-02-15 |
|484    |JERK PAYCHECK            |Classics   |NC-17 |ESTHER CRAWFORD      |1               |11.98       |2006-02-15 |
|486    |JET NEIGHBORS            |Foreign    |R     |THEODORE CULP        |1               |11.98       |2006-02-15 |
|588    |MODEL FISH               |Children   |NC-17 |MARC OUTLAW          |1               |11.98       |2006-02-15 |
